"","resid_m1"
"235",-1.36269845477111
"236",-0.77112523584049
"237",-0.758527299942459
"238",-0.721878028172156
"239",-0.700835979530138
"240",-0.769981639852343
"241",-0.853597346319592
"242",-0.689204429702653
"243",-0.709180335990642
"244",-0.986484800495379
"245",-0.94055942521502
"246",-0.687308010578872
"247",-0.816484958651867
"248",-0.648527078987049
"249",-0.642080791433292
"250",-1.00975403511834
"251",-0.628480207671555
"252",-0.989481777182063
"253",-0.703093830362388
"254",-0.527970291007831
"255",-0.752000203562363
"256",-0.559450092922031
"257",-0.591773144214106
"258",-0.586729790027474
"259",-0.493423821355246
"260",-0.481034138494003
"261",-0.958886561880266
"262",-1.34835143369018
"263",-0.614291115919573
"264",-0.607607817647351
"265",-0.452597993572877
"266",-0.617355108859983
"267",-1.24375938435187
"268",-0.388707861680242
"269",-0.372179652803169
"270",-0.514705969661336
"271",-0.441550829155582
"272",-0.350620732517654
"273",-0.282463316471649
"274",-0.325154178172649
"275",-0.930490131843902
"276",-0.267835778047445
"277",-0.512617863380765
"278",-0.804646965135358
"279",-0.213967996197421
"280",-1.11139694338044
"281",-0.266859692365511
"282",-0.977316515048638
"283",-0.215705471503352
"284",-1.20491537366591
"285",-0.527875882590066
"286",-0.162656581157508
"287",-0.141794258116806
"288",-0.382179566601316
"289",-0.223811398631777
"290",-0.274834337270953
"291",-0.135811669566275
"292",-0.170336328755334
"293",-0.728275294863634
"294",-0.361575537867078
"295",-0.0717118002826724
"296",-0.102580689676213
"297",-0.0309684150566991
"298",-0.0946651381323808
"299",-0.233970565169448
"300",-0.774552490911706
"301",-0.15113306804304
"302",-0.0020435174698141
"303",-0.129913999536106
"304",-0.0331619712465318
"305",-0.248686635963805
"306",-0.0265277206916489
"307",0.0214218634232565
"308",-0.696687658840189
"309",0.0310849947254435
"310",-0.0109795552370981
"311",0.026458668992039
"312",0.113587708966517
"313",0.0731183382266445
"314",0.00755781638537207
"315",0.135240639127796
"316",-0.0583493242634445
"317",0.129282311726443
"318",0.0590492716758829
"319",-0.277277098468791
"320",-0.176414929939473
"321",0.104268164892117
"322",0.173149892583776
"323",-0.437736123633499
"324",-0.71431113542801
"325",-0.326627348241269
"326",-0.326627348241269
"327",0.134302576013165
"328",-0.439952186761071
"329",-0.109895394424136
