"","mu","sigma","nu"
"1",91.316675637975,0.122039942600682,-0.637050442065476
"2",160.736063434767,0.053047765788061,3.90324213453216
"3",172.43492725128,0.0437458879918674,4.95397440316205
"4",122.571547679817,0.0889087141868821,1.08885085887304
"5",99.4371388300437,0.113137795814931,-0.224356398731952
"6",79.6764633610712,0.135318717386028,-1.19979973229507
"7",63.910721924213,0.154764217705903,-1.93135910595577
"8",116.380673877294,0.0952462995536628,0.71363317146081
"9",126.720018534766,0.0847250246678071,1.35151046752166
"10",126.720018534766,0.0847250246678071,1.35151046752166
"11",112.508289319608,0.0992636859755731,0.488508723365606
"12",152.208900994134,0.0604621856233383,3.19024233481286
"13",152.208900994134,0.0604621856233383,3.19024233481286
"14",65.9531153542949,0.15212289094163,-1.83756987422317
"15",184.389754624016,0.0355817009265444,6.07975806471475
"16",172.43492725128,0.0437458879918674,4.95397440316205
"17",181.618311217397,0.0373386973111749,5.81707519545059
"18",104.396393081507,0.107813961871325,0.0382733170852623
"19",81.2603624369192,0.133467979768263,-1.12476728434291
"20",139.3960316529,0.0723158030424261,2.2145693123384
"21",154.512838274534,0.0584160330186725,3.37787391259009
"22",174.450799096804,0.0422654483889626,5.14160498680363
"23",169.582370479678,0.0459060257972582,4.69129159211676
"24",85.1805207410882,0.128951121871814,-0.93718521653683
"25",159.865460653162,0.0537833444477179,3.82818963174766
"26",176.851630910048,0.0405549036762253,5.36676171008427
"27",169.99230908289,0.0455910237957553,4.72881771044382
"28",72.4575384541308,0.143969804580241,-1.53744372028338
"29",89.0367824869834,0.124587125861835,-0.749601539925027
"30",71.6479556491283,0.144964549177747,-1.57495955913258
"31",146.966396722474,0.0652195475954611,2.77745435000373
"32",146.477262349996,0.0656701701813809,2.73992834581215
"33",149.856666327778,0.0625800101284963,3.00261106835435
"34",118.271927648675,0.0932989966513362,0.826197135886353
"35",110.526484880174,0.101335483849903,0.375948221789351
"36",164.165266885025,0.0502046880593039,4.20345177499273
"37",172.43492725128,0.0437458879918674,4.95397440316205
"38",135.683040985913,0.0758867188439051,1.95189440580707
"39",118.895773778246,0.0926587835866114,0.863718717106812
"40",149.380179046308,0.0630123950659746,2.9650848768712
"41",85.1805207410882,0.128951121871814,-0.93718521653683
"42",143.49663156514,0.0684400482645398,2.51477320846986
"43",154.512838274534,0.0584160330186725,3.37787391259009
"44",112.508289319608,0.0992636859755731,0.488508723365606
"45",81.2603624369192,0.133467979768263,-1.12476728434291
"46",140.951154632687,0.0708373197896894,2.32714532226348
"47",165.431130376003,0.0491782664423711,4.31603026377819
"48",136.756199334579,0.0748488343760317,2.02694400328726
"49",131.846430269368,0.0796339680565243,1.68922345288399
"50",118.271927648675,0.0932989966513362,0.826197135886353
"51",109.859053055278,0.102035648411164,0.338428306542793
"52",114.459573569204,0.0972342465536116,0.601070370252256
"53",94.3144063288201,0.118724523313725,-0.486981158936562
"54",177.648598087162,0.0400002469137476,5.44181395520489
"55",117.014391420977,0.0945927239648788,0.751154363250396
"56",168.347223685072,0.046864150753268,4.57871322657873
"57",143.998928682732,0.0679704187363395,2.55229894831755
"58",134.599792871558,0.0769389953168446,1.87684513115545
"59",98.7151973247164,0.113919508194959,-0.261874512581613
"60",81.2603624369192,0.133467979768263,-1.12476728434291
"61",117.014391420977,0.0945927239648788,0.751154363250396
"62",134.599792871558,0.0769389953168446,1.87684513115545
"63",74.8783931534256,0.141026339467262,-1.42489603819867
"64",66.7690717597175,0.151079025746083,-1.80005416206667
"65",172.029732131876,0.0440481413715346,4.9164482883554
"66",111.851095376974,0.0999495354882752,0.450988429381945
"67",88.2710453682236,0.125447946980888,-0.787118418475086
"68",111.190497677165,0.100640123865353,0.413468262338483
"69",165.431130376003,0.0491782664423711,4.31603026377819
"70",154.512838274534,0.0584160330186725,3.37787391259009
"71",170.809661794617,0.0449674895024838,4.80386994350931
"72",102.996468569193,0.109308963884392,-0.036764281318362
"73",115.743640051752,0.0959043910105526,0.676112108917557
"74",168.759851276366,0.0465425741858336,4.61623935046753
"75",107.836233360968,0.104165302673604,0.225869297755899
"76",67.5843488395804,0.15004232355677,-1.76253843669208
"77",107.836233360968,0.104165302673604,0.225869297755899
"78",103.698144898742,0.10855888934752,0.000754462666999836
"79",100.870995207806,0.111590426718379,-0.149319866058125
"80",121.966792032044,0.0895230162155171,1.05132852646819
"81",90.9385309746523,0.122460827562715,-0.655809007970668
"82",89.0367824869834,0.124587125861835,-0.749601539925027
"83",115.743640051752,0.0959043910105526,0.676112108917557
"84",70.0253854320591,0.146974705201236,-1.64999116715782
"85",144.996850523852,0.067040805387602,2.62735057407498
"86",157.663335366871,0.0556672253965319,3.64055819019045
"87",95.0560096190406,0.117909838648773,-0.449463619081032
"88",105.782606317321,0.106339407066269,0.113311363177564
"89",172.43492725128,0.0437458879918674,4.95397440316205
"90",154.055780130265,0.0588196474199565,3.34034758537333
"91",166.269477235945,0.0485056703708071,4.39108256046694
"92",176.452606544347,0.0408351095734517,5.32923558816341
"93",162.46088451883,0.0516066519201745,4.05334702313034
"94",132.955635858889,0.0785448323630535,1.76427185647578
"95",111.851095376974,0.0999495354882752,0.450988429381945
"96",96.5295152413704,0.116297202187994,-0.3744282628158
"97",100.870995207806,0.111590426718379,-0.149319866058125
"98",63.3383233560895,0.155511973628181,-1.95762008057542
"99",172.839414041555,0.0434457086440055,4.9915005183665
"100",182.410448308289,0.0368280276053323,5.89212744418952
"101",179.635963325847,0.0386465666216982,5.62944457345049
"102",113.812515919249,0.0979060736927242,0.563549693471313
"103",110.526484880174,0.101335483849903,0.375948221789351
"104",74.8783931534256,0.141026339467262,-1.42489603819867
"105",94.3144063288201,0.118724523313725,-0.486981158936562
"106",87.5024985648683,0.126314715904363,-0.824635223301006
"107",71.6479556491283,0.144964549177747,-1.57495955913258
"108",131.846430269368,0.0796339680565243,1.68922345288399
"109",99.4371388300437,0.113137795814931,-0.224356398731952
"110",109.18820119441,0.102740650746132,0.300908515112829
"111",90.5596436316305,0.122883164065522,-0.674567553706677
"112",164.165266885025,0.0502046880593039,4.20345177499273
"113",164.165266885025,0.0502046880593039,4.20345177499273
"114",106.470573372265,0.105609709824246,0.150830557824996
"115",74.0728475814116,0.142000746402514,-1.46241196199899
"116",161.601134353136,0.0523222474778425,3.97829459736533
"117",159.428018841593,0.0541549499286444,3.79066336447268
"118",167.933652982649,0.0471879491969224,4.54118710018184
"119",143.49663156514,0.0684400482645398,2.51477320846986
"120",123.771833230461,0.0876927273528115,1.16389588265043
"121",168.347223685072,0.046864150753268,4.57871322657873
"122",68.3988750307906,0.149012735222803,-1.72502269670199
"123",113.812515919249,0.0979060736927242,0.563549693471313
"124",90.5596436316305,0.122883164065522,-0.674567553706677
"125",109.859053055278,0.102035648411164,0.338428306542793
"126",159.865460653162,0.0537833444477179,3.82818963174766
"127",165.85084462775,0.0488408106092885,4.35355641473678
"128",82.0490671734413,0.132552124891444,-1.08725098424472
"129",98.7151973247164,0.113919508194959,-0.261874512581613
"130",99.4371388300437,0.113137795814931,-0.224356398731952
"131",179.238978128439,0.0389135872470867,5.59191844934105
"132",62.1357115546801,0.157094041722753,-2.0127681161275
"133",169.99230908289,0.0455910237957553,4.72881771044382
"134",164.588364592108,0.0498601890015096,4.24097794436009
"135",171.217122903958,0.0446589276474351,4.84139605881033
"136",163.740995160488,0.0505515673767087,4.16592559858195
"137",176.452606544347,0.0408351095734517,5.32923558816341
"138",176.452606544347,0.0408351095734517,5.32923558816341
"139",61.8902005338709,0.157418884951011,-2.02402281571012
"140",62.1111615286473,0.157126495857701,-2.01389358610658
"141",62.1111615286473,0.157126495857701,-2.01389358610658
"142",61.8902005338709,0.157418884951011,-2.02402281571012
"143",61.9147526888134,0.157386370423675,-2.02289734577223
"144",61.8902005338709,0.157418884951011,-2.02402281571012
"145",61.9147526888134,0.157386370423675,-2.02289734577223
"146",61.8902005338709,0.157418884951011,-2.02402281571012
"147",61.8902005338709,0.157418884951011,-2.02402281571012
"148",61.8902005338709,0.157418884951011,-2.02402281571012
"149",61.8902005338709,0.157418884951011,-2.02402281571012
"150",61.8902005338709,0.157418884951011,-2.02402281571012
"151",61.8902005338709,0.157418884951011,-2.02402281571012
"152",64.7280635550026,0.153702227725441,-1.89384342073083
"153",114.459573569204,0.0972342465536116,0.601070370252256
"154",143.998928682732,0.0679704187363395,2.55229894831755
"155",162.888830291486,0.0512525326898412,4.09087322301327
"156",66.9892665043909,0.150798412297362,-1.78992491757648
"157",66.9892665043909,0.150798412297362,-1.78992491757648
"158",68.9116087751727,0.148367725195239,-1.70138777237489
"159",65.2672393453613,0.153005309473544,-1.86908306324201
"160",65.2754068928353,0.152994774444306,-1.86870790627571
"161",61.8902005338709,0.157418884951011,-2.02402281571012
"162",61.9720401571637,0.157310529307868,-2.0202712492332
"163",83.6196156074467,0.130739225889242,-1.01221821898247
"164",137.289047208275,0.074335227524083,2.06446891851745
"165",123.771833230461,0.0876927273528115,1.16389588265043
"166",107.155115386498,0.104885019813288,0.188349868855543
