x,C3,C10,C25,C50,C75,C90,C97,mu,sigma,nu
0.0,1.1101578429,1.3246297874,1.6043944465,2.0197969966,2.5982277722,3.3321059813,4.3668989752,2.0197936395418017,0.3564151717765386,-0.37194343145131825
2.2121212121,1.4845936819,1.7713427695,2.1444464363,2.6964305673,3.4610881181,4.424885103399999,5.7726130316,2.696440569334972,0.35398253177265415,-0.3601261223134474
4.4242424242,1.8582319187,2.2170587882,2.6827697886,3.3692721272000004,4.3154360124,5.5003449151999995,7.1439146722,3.369272311419457,0.35157064558472784,-0.3483611085757128
6.6363636364,2.2310755713,2.6617724641,3.2193514564999997,4.0383216763,5.16137888,6.558947334,8.482296509500001,4.038321121503751,0.34918026817627335,-0.3364805143036169
8.8484848485,2.6031275122,3.1054782210000003,3.7541783189999998,4.7035792145999995,5.999021183200001,7.6011337103,9.7891548738,4.703579110121962,0.3467977015088981,-0.3246980717456812
11.0606060606,2.9743904647000003,3.5481702858,4.287237183,5.3650447422,6.828464525599999,8.627325989700001,11.0657975854,5.365052189858036,0.34443675104755245,-0.31287295168808876
13.2727272727,3.3448669998000002,3.9898426872000003,4.8185147852,6.0227182588999995,7.6498077512,9.637927795700001,12.313450978299999,6.022730935602613,0.34208730389211783,-0.3010793338885347
15.4848484848,3.7145595319,4.4304892551999995,5.3479977944,6.6765997649,8.463147040099999,10.63332544,13.5332662608,6.676639076435288,0.3397557137512719,-0.2892370077107628
17.696969697,4.0834703160000005,4.8701036206,5.8756728135000005,7.3266892601,9.2685759991,11.6138888653,14.7263252831,7.326699615200248,0.33744073805808716,-0.277464136758639
19.9090909091,4.4516014435,5.3086792146,6.4015263814,7.9729867446,10.0661857497,12.579972525999999,15.8936457777,7.9729895094544085,0.33514311208240594,-0.26569387941966527
22.1212121212,4.8189548391,5.746209267999999,6.9255449751,8.6154922182,10.856065011400002,13.5319162123,17.0361861262,8.615505927838884,0.3328616003740598,-0.25383524025521564
24.3333333333,5.1855322569,6.182686811,7.4477150124,9.2542056811,11.6383001822,14.4700458202,18.1548497038,9.249950734504992,0.33021406217402005,-0.25157137106219385
26.5454545455,5.551335277200001,6.6181046732,7.968022853,9.889127133099999,12.4129754156,15.394674074100001,19.2504888438,9.889129689321788,0.32833704029158645,-0.2302496594990842
28.7575757576,5.9163653025,7.0524554828,8.486454801399999,10.520256574400001,13.180172694200001,16.3061012028,20.3239084607,10.520262113256297,0.3261028464414522,-0.21841564817318396
30.9696969697,6.280623554299999,7.4857316670000005,9.002997108999999,11.147594005,13.939971901099998,17.2046155742,21.3758693658,11.14758674240134,0.3238773580758557,-0.2066394329041158
33.1818181818,6.6441110696,7.9179254513999995,9.5176359756,11.7711394247,14.6924508876,18.0904942907,22.407091305700003,11.771157495123475,0.32167145092810645,-0.19481192213871373
35.3939393939,7.0068286971000004,8.349028860499999,10.0303575522,12.390892833699999,15.437685538399998,18.9640037488,23.418255750700002,12.390928571729978,0.31947940636386546,-0.18298427052266272
37.6060606061,7.3687770940999995,8.7790337172,10.541147943099999,13.0068542318,16.1757498349,19.8254001649,24.4100084559,13.006877343853898,0.3173021999936666,-0.17118246885497343
39.8181818182,7.7299567225,9.2079316436,11.0499932074,13.6190236192,16.9067159152,20.6749300695,25.3829618179,13.619009636029977,0.3151414295146422,-0.15938138562587453
42.030303030300004,8.090367846,9.6357140606,11.5568793619,14.2274009958,17.630654132,21.5128307732,26.3376970452,14.227418920754218,0.3129908944577824,-0.14758618984968086
44.2424242424,8.4500105262,10.0623721885,12.061792383,14.8319863617,18.3476331084,22.339330804699998,27.274766158800002,14.823861552920228,0.3104386181207771,-0.14884304710693927
46.4545454545,8.8088846194,10.4878970474,12.564718208699999,15.4327797167,19.057719791700002,23.154650324000002,28.19469384,15.414100190396319,0.30788332992827394,-0.13980052599881415
48.6666666667,9.166989773200001,10.9122794574,13.0656427409,16.029781060999998,19.7609795049,23.959001512199997,29.0979791373,16.029739457872203,0.3066389430704247,-0.11217754040845787
50.878787878800004,9.5243254233,11.3355100393,13.5645518476,16.6229903945,20.457475996099998,24.752588939000002,29.9850970456,16.614291743984786,0.3041546304519024,-0.11327915607232182
53.0909090909,9.8808907899,11.7575792154,14.0614313648,17.2124077172,21.1472714864,25.5356099098,30.856499969,17.21241198363211,0.3024729429357371,-0.08854597738662967
55.303030303,10.2366848749,12.1784772096,14.556267098900001,17.7980330291,21.8304267161,26.308254793899998,31.7126190765,17.7981172338629,0.29983541277949766,-0.08657411698633505
57.5151515152,10.591706458500001,12.598194048699998,15.049044828900001,18.3798663303,22.5070009885,27.0707073338,32.5538655604,18.363668920273895,0.29772402206718873,-0.0876990695901364
