"","mu","sigma","nu","x","C3","C10","C25","C50","C75","C90","C97"
"1",2.28300611487308,0.254855752686613,0.221783565758848,0,1.37536695116387,1.62652968384802,1.91598719895169,2.28300611487308,2.7025476226673,3.12932214028257,3.60030580042572
"2",3.26574067274864,0.253376588560392,0.225895802660118,2.21212121212121,1.97246420178195,2.33087979192042,2.74340649244435,3.26574067274864,3.86194203381486,4.46757002258041,5.13504840977454
"3",4.22287802609767,0.251906009394449,0.230008040543979,4.42424242424242,2.55710367534342,3.01944255320928,3.55089517973,4.22287802609767,4.98876773586444,5.76568456022855,6.620821829729
"4",5.14713205205435,0.250443965362307,0.234120279769279,6.63636363636364,3.12474006734283,3.68689174614834,4.33224879401696,5.14713205205435,6.07454345203095,7.01401118072094,8.04672327785266
"5",6.03121155384907,0.248990406926674,0.238232520694707,8.84848484848485,3.67077986882996,4.32786065576452,5.08123555323633,6.03121155384907,7.11081452340891,8.20295981650884,9.40196174556311
"6",6.86913647336458,0.247545284837773,0.242344763689595,11.0606060606061,4.19138454545273,4.93788843162239,5.79270653135783,6.86913647336458,8.09070259742638,9.32479008116824,10.677900936777
"7",7.6612510943916,0.246108550131667,0.246457009174619,13.2727272727273,4.68654744818869,5.51703877283868,6.4668327746128,7.6612510943916,9.01479632137759,10.3803853123438,11.8757985933919
"8",8.40990061389721,0.244680154128604,0.250569257586712,15.4848484848485,5.15749130693226,6.06682133791231,7.10547789526011,8.40990061389721,9.88603216853478,11.3733238822428,12.9999844440379
"9",9.11742729446221,0.243260048431363,0.254681509362596,17.6969696969697,5.60545169980247,6.58875630931243,7.71051138072907,9.11742729446221,10.7073298010539,12.3071492829005,14.0547290135576
"10",9.78615729879992,0.241848184923621,0.258793764939794,19.9090909090909,6.0316689087344,7.08436478260519,8.28379736116399,9.78615729879992,11.4815768827478,13.1853531036326,15.0442248464398
"11",10.4185366173631,0.240444515768313,0.262906024749963,22.1212121212121,6.43747177365332,7.55526717368303,8.82730963689714,10.4185366173631,12.2117887310167,14.0115586974064,15.9727965946798
"12",11.0174536166016,0.239048993406023,0.267018289203161,24.3333333333333,6.82447839618941,8.00341821636692,9.34340561174929,11.0174536166016,12.9014855848966,14.7899533436823,16.8453930175656
"13",11.5859910517727,0.237661570553362,0.271130558699948,26.5454545454545,7.19444553165458,8.43092920742907,9.83461744250303,11.5859910517727,13.5544002712091,15.52495121859,17.6672010951473
"14",12.1272272260329,0.236282200201371,0.275242833641099,28.7575757575758,7.5491462778912,8.83992419497075,10.3034837636735,12.1272272260329,14.1742450003166,16.2209258202142,18.4433411593011
"15",12.6442404127849,0.234910835613929,0.279355114427394,30.969696969697,7.89037276943692,9.23254308806786,10.75255333099,12.6442404127849,14.7647168349108,16.8822166836826,19.1788752034112
