"","mu","sigma","nu","x","C3","C10","C25","C50","C75","C90","C97"
"1",3.04228249454558,0.327787046618806,0.694543387012672,0,1.36055554626545,1.85137760601303,2.39308507150378,3.04228949797258,3.73699922062611,4.39824492232405,5.08227354355353
"2",3.66021617089337,0.325204892364446,0.676207339889392,2.21212121212121,1.6623229683379,2.24337228116013,2.88665467839356,3.66022022222376,4.49089235976145,5.28403708367186,6.10680633635943
"3",4.27665223060291,0.322643079242244,0.657871296310474,4.42424242424242,1.97129441030428,2.63949031537068,3.38145851443314,4.27665435940326,5.24122856545419,6.16509802784453,7.12615409658661
"4",4.89105803215115,0.32010144705898,0.639535257643362,6.63636363636364,2.28691633352898,3.03924323861256,3.87701682935798,4.89105904787604,5.98736877829183,7.04066155463689,8.139408828139
"5",5.50290092070716,0.317579836882245,0.621199225255049,8.84848484848485,2.60863763554112,3.44214005288174,4.37284714069671,5.50290135883523,6.72867698030675,7.90996623771424,9.14566738619952
"6",6.11167487663624,0.315078091034234,0.602863200532007,11.0606060606061,2.93592278289587,3.84770437820039,4.86848571632552,6.11167504620139,7.46455278787555,8.7722937541579,10.1440758535348
"7",6.71700236170757,0.312596053095685,0.584527184954624,13.2727272727273,3.26830192688016,4.2555396163946,5.36356927605175,6.71700241998554,8.19455551194581,9.62711461803743,11.1339981809334
"8",7.31854640713997,0.310133567883516,0.566191180033291,15.4848484848485,3.60533093463004,4.66527539164261,5.85776589187804,7.31854642469521,8.9182961115701,10.4739610396621,12.114869329731
"9",7.91597119185286,0.307690481435519,0.54785518727398,17.6969696969697,3.94657218781406,5.07654289748162,6.35074373606673,7.91597119641342,9.63538889673429,11.3123701698963,13.0861297161562
"10",8.5089345091555,0.305266641000378,0.529519208204395,19.9090909090909,4.2915901035077,5.48896989816488,6.84216502307138,8.50893451015735,10.3454423305446,12.1418733415276,14.0472128219694
"11",9.09714110431978,0.302861895030998,0.511183244192563,22.1212121212121,4.63997756165033,5.90221508654199,7.33172893779475,9.09714110450152,11.0481238226129,12.9620721396751,14.9976332619398
"12",9.68046872903784,0.300476093181604,0.49284729601822,24.3333333333333,4.99142172487639,6.3160510910694,7.81927388806596,9.68046872906429,11.7433123003923,13.772817257313,15.9371938397168
"13",10.2588711791759,0.298109086292948,0.474511364202517,26.5454545454545,5.34565777725934,6.7303038697905,8.30470055624105,10.2588711791789,12.4309795181282,14.5740689265343,16.8658242065228
"14",10.832300510526,0.295760726378838,0.45617544927252,28.7575757575758,5.7024294266196,7.14480256012071,8.78790943441502,10.8323005105262,13.1110953810178,15.365785775667,17.7834523106226
"15",11.400708764912,0.293430866617013,0.437839551755345,30.969696969697,6.06148917053353,7.55938037599711,9.26880217080188,11.400708764912,13.7836300363992,16.1479272896567,18.6900072649402
"16",11.9640646501748,0.291119361340147,0.419503672110046,33.1818181818182,6.42260669841455,7.97388552334426,9.74729511981643,11.9640646501748,14.4485740102708,16.9204773972385,19.5854466705161
"17",12.522448738274,0.288826066027575,0.401167810338917,35.3939393939394,6.78562039233051,8.38824506198065,10.2233971659435,12.522448738274,15.1060529269717,17.683578724802,20.469912053899
"18",13.0759873589063,0.286550837295711,0.382831966257411,37.6060606060606,7.15040346942413,8.80242207497784,10.697156538973,13.0759873589063,15.756247095209,18.4374381902893,21.3436196451631
"19",13.6248070272379,0.284293532888726,0.364496139680236,39.8181818181818,7.51683940816987,9.21638535819964,11.1686237748612,13.6248070272379,16.3993363477902,19.1822623470594,22.2067855481238
"20",14.1690342432447,0.282054011669699,0.346160330422111,42.030303030303,7.88482129653998,9.63010904676884,11.6378514858531,14.1690342432447,17.0354997996554,19.9182570909419,23.0596254005622
"21",14.7087988518781,0.279832133610111,0.327824538302279,44.2424242424242,8.2542532116701,10.0435746826222,12.1048970616735,14.7087988518781,17.6649198841452,20.6456323680184,23.9023598237085
"22",15.2442566841759,0.277627759769654,0.309488763175074,46.4545454545455,8.62506263727936,10.4567865835214,12.5698413037287,15.2442566841759,18.287809493052,21.3646338611876,24.735251107128
"23",15.7755757777209,0.275440752295072,0.291153004911311,48.6666666666667,8.99719275351664,10.8697625443443,13.0327771859705,15.7755757777209,18.904395293998,22.0755234214823,25.5585805532241
"24",16.3029242511132,0.273270974417892,0.272817263381917,50.8787878787879,9.37059530871828,11.2825254259741,13.4937998512658,16.3029242511132,19.5149031383968,22.7785619868763,26.3726286960591
"25",16.8264702129422,0.27111829044595,0.254481538457818,53.0909090909091,9.74523015713291,11.6951028942507,13.9530064743298,16.8264702129422,20.1195579554628,23.4740094456935,27.1776751361376
"26",17.3463844651602,0.268982565753501,0.236145830008137,55.3030303030303,10.1210664512875,12.1075291181071,14.4104984475599,17.3463844651602,20.7185869847699,24.162128393841,27.9740028830645
"27",17.8628622542062,0.266863666761526,0.217810137885597,57.5151515151515,10.4980951222267,12.5198598749904,14.8663994460571,17.8628622542062,21.3122457137232,24.8432143484065,28.7619333268464
"28",18.3761119634836,0.264761460935765,0.199474461934114,59.7272727272727,10.8763223564575,12.9321647717974,15.3208461254838,18.3761119634836,21.900804247034,25.517579775662,29.5418077332441
"29",18.8863421101794,0.262675816785395,0.181138801997512,61.9393939393939,11.2557617803048,13.3445180701685,15.7739772998822,18.8863421101794,22.4845317470564,26.1855359138158,30.3139661852956
"30",19.3937612127906,0.260606603854899,0.162803157919643,64.1515151515151,11.6364340593584,13.7569984254538,16.2259337734479,19.3937612127906,23.0636962817818,26.8473925808182,31.0787473473424
"31",19.898575981532,0.258553692714789,0.144467529533845,66.3636363636364,12.0183655007653,14.169687437334,16.676856767599,19.898575981532,23.6385626817299,27.5034556662492,31.8364855481184
"32",20.4009737172076,0.2565169549427,0.126131916560597,68.5757575757576,12.4015770315343,14.5826568911595,17.1268730775251,20.4009737172076,24.209371671317,28.1540028539999,32.5874826674805
"33",20.901129832827,0.254496263120451,0.107796318651253,70.7878787878788,12.7860881562409,14.995973749969,17.5761012086895,20.901129832827,24.776348915293,28.7992941890111,33.3320203634876
"34",21.3992195659312,0.252491490833488,0.0894607354561488,73,13.1719236974085,15.4097083002102,18.0246611120816,21.3992195659312,25.3397189692331,29.4395883128797,34.0703788580134
"35",21.8954181531537,0.250502512663085,0.0711251666256229,75.2121212121212,13.5591136772678,15.8239341541879,18.4726742862219,21.8954181531537,25.8997054928529,30.0751427005884,34.8028372008806
